"hub","species"
"DC","AMRO"
"Atlanta","AMRO"
"Pittsburgh","AMRO"
"Raleigh","AMRO"
"Springfield","AMRO"
"Pittsburgh","BCCH"
"Springfield","BCCH"
"Atlanta","BRTH"
"Gainesville","BRTH"
"Pittsburgh","BRTH"
"DC","CACH"
"Atlanta","CACH"
"Gainesville","CACH"
"Pittsburgh","CACH"
"Raleigh","CACH"
"DC","CARW"
"Atlanta","CARW"
"Gainesville","CARW"
"Pittsburgh","CARW"
"Raleigh","CARW"
"Springfield","CARW"
"Pittsburgh","EAPH"
"Springfield","EAPH"
"DC","GRCA"
"Atlanta","GRCA"
"Gainesville","GRCA"
"Pittsburgh","GRCA"
"Raleigh","GRCA"
"Springfield","GRCA"
"DC","HOWR"
"Atlanta","HOWR"
"Pittsburgh","HOWR"
"Raleigh","HOWR"
"Springfield","HOWR"
"DC","NOCA"
"Atlanta","NOCA"
"Gainesville","NOCA"
"Pittsburgh","NOCA"
"Raleigh","NOCA"
"Springfield","NOCA"
"DC","NOMO"
"Atlanta","NOMO"
"Gainesville","NOMO"
"Pittsburgh","NOMO"
"Raleigh","NOMO"
"Springfield","NOMO"
"DC","SOSP"
"Atlanta","SOSP"
"Pittsburgh","SOSP"
"Raleigh","SOSP"
"Springfield","SOSP"
"DC","TUTI"
"Atlanta","TUTI"
"Gainesville","TUTI"
"Pittsburgh","TUTI"
"Pittsburgh","UNCH"
