"hub","site","date","species","bandNumber","bandCombo"
"DC","SULLPAUVA1",2000-05-08,"HOWR",192085883,"AL,R/BU"
"DC","MCKEJANMD1",2000-05-12,"CACH",192085886,"O/AL,BK"
"DC","EDEREDWVA1",2000-05-18,"CACH",192085896,"BU,AL/BU"
"DC","MOSMCARMD1",2000-06-03,"TUTI",114105713,"Y,O/AL"
"DC","BARBJERMD1",2000-06-03,"CACH",192085906,"BU/AL,O"
"DC","ROHRSALMD1",2000-06-13,"NOCA",79117806,"Y,AL/BU"
"DC","HUTCBARVA1",2000-06-17,"HOWR",192085927,"Y/R,AL"
"DC","GOUGGREMD1",2000-06-15,"NOCA",79117746,"AL/G,Y"
"DC","BRUEELIMD1",2000-06-14,"CARW",114105727,"Y,Y/AL"
"DC","MCCOJOHMD1",2000-07-13,"NOCA",79117826,"AL,BU/Y"
"DC","DORNROBMD1",2000-07-21,"NOCA",79117829,"BK,AL/P"
"DC","TATEJUAMD1",2000-06-01,"NOCA",79117738,"AL,Y/O"
"DC","MOSMCARMD1",2000-06-02,"NOCA",79117743,"O/AL,BU"
"DC","GOUGGREMD1",2000-06-15,"NOCA",79117747,"BK/AL,BU"
"DC","FERRSUEMD1",2000-07-05,"CARW",114105745,"BU,BU/AL"
"DC","RABIANDMD1",2000-07-20,"NOCA",79117750,"R/P,AL"
"DC","TATEJUAMD1",2000-06-01,"NOCA",79117739,"R/AL,BK"
"DC","MOSMCARMD1",2000-06-03,"NOCA",79117744,"W/AL,G"
"DC","BARBJERMD1",2000-06-02,"CACH",192085905,"BK,W/AL"
"DC","TUFTKATMD1",2000-06-07,"NOCA",79117801,"G,AL/Y"
"DC","REITBOBMD1",2000-06-07,"GRCA",79117802,"Y/AL,Y"
"DC","ROHRSALMD1",2000-06-13,"CACH",192085916,"AL/BU,W"
"DC","HUTCBARVA1",2000-06-17,"TUTI",114105720,"AL/BU,O"
"DC","HUTCBARVA1",2000-06-17,"CACH",192085930,"AL,G/O"
"DC","HUTCBARVA1",2000-06-17,"CACH",192085932,"AL,P/W"
"DC","HUTCBARVA1",2000-06-17,"TUTI",114105734,"P,W/AL"
"DC","MAHOJIMMD1",2000-06-16,"CACH",192085926,"W/AL,R"
"DC","GOUGGREMD1",2000-06-15,"CACH",192085921,"AL,P/P"
"DC","BRUEELIMD1",2000-06-14,"TUTI",114105723,"AL,O/O"
"DC","BRUEELIMD1",2000-06-14,"TUTI",114105724,"AL,Y/Y"
"DC","GOCHJOAMD1",2000-07-07,"NOCA",79117825,"Y,P/AL"
"DC","GALLTERMD1",2000-07-25,"NOCA",79117752,"O,G/AL"
"DC","OMLAKEVMD1",2000-07-24,"NOCA",79117834,"W,AL/O"
"DC","MOSMCARMD1",2000-06-03,"TUTI",114105714,"R/AL,P"
"DC","BARBJERMD1",2000-06-02,"CACH",192085907,"AL/R,BK"
"DC","BRUEELIMD1",2000-06-14,"CACH",192085920,"AL,Y/R"
"DC","BURRANDMD1",2001-04-15,"AMRO",115287401,"R,O/AL"
"DC","MAHOJIMMD1",2000-06-16,"HOWR",192085922,"R/AL,Y"
"DC","PERRCHRMD1",2000-04-28,"CARW",114105702,"BU/AL,G"
"DC","OMLAKEVMD1",2000-07-24,"CARW",114105755,"BK/AL,R"
"DC","OMLAKEVMD1",2000-07-24,"CACH",192085966,"BU/AL,G"
"DC","OMLAKEVMD1",2000-07-24,"CACH",192085967,"AL/BK,BK"
"DC","PERRCHRMD1",2000-04-28,"CACH",192085879,"G/R,AL"
"DC","MCKEJANMD1",2000-05-12,"CARW",114105706,"P/AL,BU"
"DC","JONECBRMD1",2000-06-09,"NOCA",79117804,"R/AL,P"
"DC","GOUGGREMD1",2000-06-15,"SOSP",114105729,"P,AL/R"
