"hub","site","date","species","bandNumber","bandCombo","encounterType"
"Atlanta","CARTJOYGA1","2014-01-02","NOCA",264163318,"O, O/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-01-02","SOSP",266131849,"R, AL/BU","resight-participant"
"Atlanta","MARIJAYGA1","2014-01-03","TUTI",266107990,"R/G, AL","resight-participant"
"Atlanta","CARTJOYGA1","2014-01-04","NOCA",264163319,"W/Y, AL","resight-participant"
"Atlanta","CARTJOYGA1","2014-01-06","SOSP",266107931,"AL, W/Y","resight-participant"
"Atlanta","MCCAANNGA1","2014-01-06","CARW",266107995,"BU, AL/P","resight-participant"
"Atlanta","EDWALINGA1","2014-01-07","NOCA",242111328,"BU, AL/G","resight-participant"
"Atlanta","MCCAANNGA1","2014-01-19","TUTI",266107997,"R/BK, AL","resight-participant"
"Atlanta","MCCAANNGA1","2014-01-19","NOCA",264163379,"BU/AL, R","resight-participant"
"Atlanta","KRIVMAUGA1","2014-01-23","CACH",271053726,"W, P/AL","resight-participant"
"Atlanta","KRIVMAUGA1","2014-01-23","CACH",271053728,"O/AL, O","resight-participant"
"Atlanta","MCCAANNGA1","2014-01-24","CARW",266107992,"P/AL, O","resight-participant"
"Atlanta","DESIELAGA1","2014-01-25","CARW",266131806,"R, Y/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-01-28","CARW",266131847,"Y, W/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-01-28","CARW",266131847,"Y, W/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-01-29","CARW",266131850,"G, AL/BU","resight-participant"
"Atlanta","KRIVMAUGA1","2014-01-30","CACH",271053724,"AL, R/R","resight-participant"
"Atlanta","KRIVMAUGA1","2014-01-30","CACH",271053727,"G/G, AL","resight-participant"
"Atlanta","CARTJOYGA1","2014-02-02","NOCA",264163319,"W/Y, AL","resight-participant"
"Atlanta","KRIVMAUGA1","2014-02-04","CACH",271053727,"G/G, AL","resight-participant"
"Atlanta","KRIVMAUGA1","2014-02-07","CACH",271053728,"O/AL, O","resight-participant"
"Atlanta","WISSSTEGA1","2014-02-08","TUTI",266131837,"BU, R/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-02-10","NOCA",242111330,"AL, BK/Y","resight-participant"
"Atlanta","WISSSTEGA1","2014-02-10","NOCA",242111316,"BK, AL/Y","resight-participant"
"Atlanta","WISSSTEGA1","2014-02-10","NOCA",266131834,"W/AL, BU","resight-participant"
"Atlanta","CARTJOYGA1","2014-02-12","NOCA",264163318,"O, O/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-02-12","CARW",266131847,"Y, W/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-02-12","CARW",266131847,"Y, W/AL","resight-participant"
"Atlanta","EDWALINGA1","2014-02-12","CARW",266131850,"G, AL/BU","resight-participant"
"Atlanta","EDWALINGA1","2014-02-12","CARW",266131850,"G, AL/BU","resight-participant"
"Atlanta","MARIJAYGA1","2014-02-15","NOMO",127242459,"O/BK, AL","resight-participant"
