"hub","site","date","species","bandNumber","bandCombo","encounterType"
"Atlanta","CARTJOYGA1",2014-01-02,"NOCA","2641-63318","O,O/A","resight-participant"
"Atlanta","EDWALINGA1",2014-01-02,"SOSP","2661-31849","R,A/BU","resight-participant"
"Atlanta","MARIJAYGA1",2014-01-03,"TUTI","2661-07990","R/G,A","resight-participant"
"Atlanta","CARTJOYGA1",2014-01-04,"NOCA","2641-63319","W/Y,A","resight-participant"
"Atlanta","CARTJOYGA1",2014-01-06,"SOSP","2661-07931","A,W/Y","resight-participant"
"Atlanta","MCCAANNGA1",2014-01-06,"CARW","2661-07995","BU,A/P","resight-participant"
"Atlanta","EDWALINGA1",2014-01-07,"NOCA","2421-11328","BU,A/G","resight-participant"
"Atlanta","MCCAANNGA1",2014-01-19,"TUTI","2661-07997","R/BK,A","resight-participant"
"Atlanta","MCCAANNGA1",2014-01-19,"NOCA","2641-63379","BU/A,R","resight-participant"
"Atlanta","KRIVMAUGA1",2014-01-23,"CACH","2710-53726","W,P/A","resight-participant"
"Atlanta","KRIVMAUGA1",2014-01-23,"CACH","2710-53728","O/A,O","resight-participant"
"Atlanta","MCCAANNGA1",2014-01-24,"CARW","2661-07992","P/A,O","resight-participant"
"Atlanta","DESIELAGA1",2014-01-25,"CARW","2661-31806","R,Y/A","resight-participant"
"Atlanta","EDWALINGA1",2014-01-28,"CARW","2661-31847","Y,W/A","resight-participant"
"Atlanta","EDWALINGA1",2014-01-29,"CARW","2661-31850","G,A/BU","resight-participant"
"Atlanta","KRIVMAUGA1",2014-01-30,"CACH","2710-53724","A,R/R","resight-participant"
"Atlanta","KRIVMAUGA1",2014-01-30,"CACH","2710-53727","G/G,A","resight-participant"
"Atlanta","CARTJOYGA1",2014-02-02,"NOCA","2641-63319","W/Y,A","resight-participant"
"Atlanta","KRIVMAUGA1",2014-02-04,"CACH","2710-53727","G/G,A","resight-participant"
"Atlanta","KRIVMAUGA1",2014-02-07,"CACH","2710-53728","O/A,O","resight-participant"
"Atlanta","WISSSTEGA1",2014-02-08,"TUTI","2661-31837","BU,R/A","resight-participant"
"Atlanta","EDWALINGA1",2014-02-10,"NOCA","2421-11330","A,BK/Y","resight-participant"
"Atlanta","WISSSTEGA1",2014-02-10,"NOCA","2421-11316","BK,A/Y","resight-participant"
"Atlanta","WISSSTEGA1",2014-02-10,"NOCA","2661-31834","W/A,BU","resight-participant"
"Atlanta","CARTJOYGA1",2014-02-12,"NOCA","2641-63318","O,O/A","resight-participant"
"Atlanta","EDWALINGA1",2014-02-12,"CARW","2661-31847","Y,W/A","resight-participant"
"Atlanta","EDWALINGA1",2014-02-12,"CARW","2661-31850","G,A/BU","resight-participant"
"Atlanta","MARIJAYGA1",2014-02-15,"NOMO","1272-42459","O/BK,A","resight-participant"
"Atlanta","HERBLUGA1",2014-02-18,"CARW","2661-31858","R/AR","resight-participant"
"Atlanta","KRIVMAUGA1",2014-02-21,"CACH","2710-53726","W,P/A","resight-participant"
"Atlanta","KRIVMAUGA1",2014-02-28,"CACH","2710-53724","A,R/R","resight-participant"
"Atlanta","NORTLAUGA1",2014-05-06,"CARW","2661-07924","O/O,A","band"
"Atlanta","NORTLAUGA1",2014-05-06,"NOCA","2641-63316","BU/A,P","band"
