"hub","site","species","sex","bandNumber","bandCombo","encounterType","date","yearDate","bandYear"
"DC","MANNJANDC1","CACH","F","1920-85918","P/A,R","band",2000-06-14,2000,2000
"DC","LINDHANMD1","CARW","M","2341-30025","BU,A/BU","band",2008-07-19,2008,2008
"DC","NARADESVA1","NOCA","M","2531-90220","G,A/Y","band",2013-03-30,2013,2013
"DC","NARADESVA1","CARW","F","2571-70307","W/A,W","band",2013-03-30,2013,2013
"DC","MISSEDDC1","CACH","M","2660-75761","Y,O/A","band",2014-04-25,2014,2014
"DC","UNK","CACH","M","2660-75765","","band",2014-04-26,2014,2014
"DC","WISECELMD1","CACH","F","2730-24702","PK/G,A","band",2014-05-02,2014,2014
"DC","OWENDORVA1","CACH","F","2660-75768","A/G,PK","band",2014-05-03,2014,2014
"DC","WOLFKARDC1","CACH","M","2730-24707","A,BU/R","band",2014-05-04,2014,2014
"DC","YOUNKIMVA1","CACH","M","2730-24710","O/A,Y","band",2014-05-05,2014,2014
"DC","WARDDOUVA1","CACH","F","2710-25984","R/AR","band",2014-05-10,2014,2014
"DC","UNK","HOWR","U","2250-24660","BK/A,G","band",2002-08-05,2002,2002
"DC","ADAMELEVA1","SOSP","M","4501-87467","BU/W,A","band",2004-06-04,2004,2004
"DC","ADAMELEVA1","SOSP","F","4501-87463","A/O,P","band",2004-06-04,2004,2004
"DC","MASIADRMD1","NOCA","M","791-17737","A,O/O","band",2000-05-23,2000,2000
"DC","AMERICOMD1","CARW","M","1141-05587","G/O,A","band",2001-06-05,2001,2001
"DC","AMERICOMD1","NOCA","M","1751-51935","O/A,W","band",2001-06-05,2001,2001
"DC","AMERICOMD1","CARW","F","1141-05588","Y/A,W","band",2001-06-05,2001,2001
"DC","AMERICOMD1","NOCA","M","1801-77832","Y,P/A","band",2003-06-23,2003,2003
"DC","AMERICOMD1","CARW","F","1821-63334","BU/A,P","band",2003-06-23,2003,2003
"DC","AMERICOMD1","CARW","F","1821-63334","BU/A,P","recap",2004-04-16,2004,2003
"DC","AMERICOMD1","NOCA","F","1951-20910","Y,A/G","band",2004-06-18,2004,2004
"DC","AMERICOMD1","NOCA","U","1951-20914","BU,A/P","band",2004-06-18,2004,2004
"DC","AMERICOMD1","NOCA","F","1951-20913","O,A/BK","band",2004-06-18,2004,2004
"DC","AMERICOMD1","NOCA","F","1951-20913","O,A/BK","resight-technician",2005-07-13,2005,2004
"DC","AMERICOMD1","NOCA","M","1991-21101","BK/A,P","band",2005-07-13,2005,2005
"DC","ANACMUSDC1","NOCA","M","2531-90214","R/ABK","band",2012-07-16,2012,2012
"DC","ANACMUSDC1","GRCA","M","2531-90215","BK/A,R","band",2012-07-16,2012,2012
"DC","ANDEMIKMD1","CARW","M","1721-48504","A,R/O","band",2001-06-19,2001,2001
"DC","ANDEMIKMD1","CACH","M","2250-90417","G/R,A","band",2002-05-03,2002,2002
"DC","ANDEMIKMD1","NOCA","F","8001-21416","G/P,A","band",2002-05-03,2002,2002
"DC","ANDEMIKMD1","CACH","F","2250-90418","O/A,BK","band",2002-05-03,2002,2002
"DC","ANDEMIKMD1","CARW","M","4501-87501","Y,A/BU","band",2003-07-16,2003,2003
"DC","ANDEMIKMD1","CACH","U","1950-50463","P/A,W","band",2003-07-16,2003,2003
"DC","ANDEMIKMD1","CACH","U","1950-50462","BU/A,Y","band",2003-07-16,2003,2003
"DC","ANDEMIKMD1","CACH","U","1950-50462","BU/A,Y","recap",2004-04-08,2004,2003
"DC","ANDEMIKMD1","CARW","M","2241-17604","A,G/W","band",2005-05-06,2005,2005
"DC","ANDEMIKMD1","NOCA","M","2301-56005","BU/A,BU","band",2007-06-11,2007,2007
"DC","ANDEMIKMD1","CACH","M","2460-22906","A/R,BU","band",2007-06-11,2007,2007
"DC","ANDEMIKMD1","CARW","M","2281-69102","W/Y,A","band",2007-06-11,2007,2007
"DC","ANDEMIKMD1","NOCA","F","2301-56004","P/A,BU","band",2007-06-11,2007,2007
"DC","ANDEMIKMD1","NOCA","F","2301-56004","P/A,BU","recap",2009-05-21,2009,2007
"DC","ANDEMIKMD1","NOCA","M","2301-55921","BK/R,A","band",2008-05-31,2008,2008
"DC","ANDEMIKMD1","CARW","F","2301-55922","P/A,W","band",2008-05-31,2008,2008
"DC","ANDEMIKMD1","CARW","U","2251-80093","R,A/BU","band",2008-05-31,2008,2008
"DC","ANDEMIKMD1","NOCA","F","2301-55920","O/A,BU","band",2008-05-31,2008,2008
"DC","ANDEMIKMD1","NOCA","F","2301-55920","O/A,BU","resight-technician",2009-05-21,2009,2008
"DC","ANDEMIKMD1","CARW","M","2441-14010","A/BK,G","band",2009-05-21,2009,2009
"DC","ANDEMIKMD1","CACH","M","2590-82520","A,W/P","band",2009-05-21,2009,2009
"DC","ANDEMIKMD1","NOCA","M","2411-37223","A/PK,PK","band",2009-05-21,2009,2009
"DC","ANDEMIKMD1","NOCA","M","2411-37223","A/PK,PK","resight-technician",2010-06-12,2010,2009
"DC","ANDRKENVA1","CARW","F","2571-89932","P/Y,A","band",2014-07-22,2014,2014
"DC","ANDRKENVA1","NOCA","M","8001-21306","W,A/BK","band",2001-06-20,2001,2001
"DC","ANDRKENVA1","HOWR","M","2250-24266","A,BU/G","band",2001-06-20,2001,2001
"DC","ANDRKENVA1","CARW","M","1141-05628","A/G,W","band",2001-06-20,2001,2001
"DC","ANDRKENVA1","CACH","F","2250-24267","A/W,W","band",2001-06-20,2001,2001
"DC","ANDRKENVA1","CACH","F","2250-24268","R/R,A","band",2001-06-20,2001,2001
"DC","ANDRKENVA1","CACH","F","2250-24268","R/R,A","resight-technician",2002-05-24,2002,2001
"DC","ANDRKENVA1","CACH","F","2250-24268","R/R,A","resight-technician",2003-05-29,2003,2001
"DC","ANDRKENVA1","CACH","F","2250-24331","BU/Y,A","band",2002-05-24,2002,2002
"DC","ANDRKENVA1","CARW","M","8001-77905","Y/Y,A","band",2003-05-29,2003,2003
"DC","ANDRKENVA1","CARW","F","4501-87454","O,A/BU","band",2004-07-15,2004,2004
"DC","ANDRKENVA1","CARW","U","4501-87453","P,A/P","band",2004-07-15,2004,2004
"DC","ANDRKENVA1","NOCA","M","1891-87303","A,O/Y","band",2004-07-15,2004,2004
"DC","ANDRKENVA1","CARW","F","2241-18002","A/R,G","band",2005-05-18,2005,2005
"DC","ANDRKENVA1","HOWR","M","2400-00652","A/Y,R","band",2005-05-18,2005,2005
"DC","ANDRKENVA1","HOWR","M","2400-00653","A/W,R","band",2005-05-18,2005,2005
"DC","ANDRKENVA1","CACH","U","2400-00683","P,A/P","band",2007-05-25,2007,2007
"DC","ANDRKENVA1","GRCA","U","1951-41070","O,R/A","band",2007-05-25,2007,2007
"DC","ANDRKENVA1","HOWR","M","2540-63001","P/G,A","band",2008-05-30,2008,2008
"DC","ANDRKENVA1","AMRO","F","1232-87906","-,A","band",2008-05-30,2008,2008
"DC","ANDRKENVA1","HOWR","F","2540-63002","A/G,W","band",2008-05-30,2008,2008
"DC","ANDRKENVA1","CACH","U","2540-63003","R,A/BU","band",2008-05-30,2008,2008
"DC","ANDRKENVA1","CACH","U","2540-63004","A,G/O","band",2008-05-30,2008,2008
"DC","ANDRKENVA1","NOCA","F","2411-37306","A,BU/Y","band",2009-05-28,2009,2009
"DC","ANDRKENVA1","NOCA","M","2421-11473","A/G,P","band",2010-07-20,2010,2010
"DC","ANDRKENVA1","CARW","U","2341-29377","PK,A/R","band",2010-07-20,2010,2010
"DC","ANDRKENVA1","CARW","U","2571-90129","BK,BU/A","band",2013-07-16,2013,2013
"DC","ANDRKENVA1","CARW","F","2571-89933","A,O/G","band",2014-07-22,2014,2014
"DC","ANDRKENVA1","HOWR","U","2710-54338","O/BU,A","band",2014-07-22,2014,2014
"DC","ANDRKENVA1","CARW","U","2571-89934","A,Y/PK","band",2014-07-22,2014,2014
"DC","ANDRKENVA1","HOWR","U","2710-54339","PK/BK,A","band",2014-07-22,2014,2014
"DC","ANDRKENVA1","NOCA","F","2641-96871","PK/A,O","band",2015-05-29,2015,2015
"DC","ANDRKENVA1","HOWR","M","2710-54381","P,Y/A","band",2015-05-29,2015,2015
"DC","ANDRKENVA1","CACH","M","2710-54380","W/R,A","band",2015-05-29,2015,2015
"DC","ANDRKENVA1","SOSP","M","2571-89992","A/R,R","band",2015-05-29,2015,2015
"DC","ASSMCARMD1","SOSP","M","2261-38347","A/Y,G","band",2007-07-27,2007,2007
"DC","ASSMCARMD1","GRCA","M","1991-46167","P,A/PK","band",2007-07-27,2007,2007
"DC","ASSMCARMD1","NOCA","M","1991-46166","A/O,P","band",2007-07-27,2007,2007
"DC","ASSMCARMD1","NOCA","M","1991-46166","A/O,P","recap",2008-07-21,2008,2007
"DC","ASSMCARMD1","NOCA","M","1991-46166","A/O,P","resight-technician",2010-06-14,2010,2007
"DC","ASSMCARMD1","SOSP","M","2261-38348","BU,W/A","band",2007-07-27,2007,2007
"DC","ASSMCARMD1","SOSP","M","2261-38348","BU,W/A","resight-technician",2009-05-28,2009,2007
"DC","ASSMCARMD1","SOSP","M","2261-38348","BU,W/A","recap",2010-06-12,2010,2007
