species,birdID,date,time,longitude,latitude
BCNH,Parker,2017-08-06,23:55:46+00,-77.051,38.93
BCNH,Parker,2017-05-27,00:41:10+00,-77.126,38.917
BCNH,Parker,2016-06-24,02:31:00+00,-77.07266,38.92559
BCNH,Parker,2017-05-11,00:43:50+00,-77.005,38.922
BCNH,Parker,2017-05-22,02:29:03+00,-77.043,38.883
BCNH,Parker,2017-05-27,00:41:10+00,-77.126,38.917
BCNH,Parker,2017-08-21,19:26:09+00,-77.051,38.879
BCNH,Parker,2016-09-14,14:21:06+00,-80.12,32.933
BCNH,Parker,2016-09-15,21:33:04+00,-81.365,29.627
BCNH,Parker,2017-08-28,00:18:24+00,-81.02,29.13
BCNH,Parker,2017-08-28,00:41:55+00,-80.822,28.976
BCNH,Parker,2016-09-16,23:58:16+00,-81.001,27.59
BCNH,Parker,2016-09-20,19:34:37+00,-80.948,26.125
BCNH,Parker,2016-09-22,00:39:57+00,-80.723,25.37
BCNH,Parker,2016-09-23,03:52:29+00,-80.954,23.214
BCNH,Parker,2017-09-14,08:36:45+00,-81.537,22.563
BCNH,Parker,2017-08-30,12:54:55+00,-81.348,22.468
BCNH,Parker,2016-09-24,11:43:21+00,-81.307,22.493
BCNH,Parker,2016-09-26,20:10:01+00,-81.259,22.432
BCNH,Parker,2016-10-07,22:14:28+00,-81.312,22.368
BCNH,Smith,2017-08-06,23:55:46+00,-77.051,38.93
BCNH,Smith,2016-07-02,16:46:00+00,-77.05357,38.93134
BCNH,Smith,2017-06-30,00:38:05+00,-77.125,38.886
BCNH,Smith,2017-05-15,03:14:23+00,-77.153,38.94
BCNH,Smith,2017-06-30,02:22:52+00,-77.134,38.933
BCNH,Smith,2016-07-19,22:51:15+00,-76.092,39.535
BCNH,Smith,2016-07-30,00:21:14+00,-76.092,39.495
BCNH,Smith,2016-07-17,11:44:57+00,-76.559,38.781
BCNH,Smith,2017-08-21,22:48:08+00,-75.426,39.226
BCNH,Smith,2016-09-07,15:08:53+00,-75.384,39.225
BCNH,Smith,2016-07-17,11:52:29+00,-76.556,38.781
BCNH,Smith,2016-07-17,10:31:58+00,-76.561,38.779
BCNH,Smith,2016-09-28,14:33:19+00,-75.667,37.637
BCNH,Smith,2017-04-01,11:59:06+00,-76.797,37.169
BCNH,Smith,2016-11-04,23:33:51+00,-81.027,26.347
BCNH,Smith,2016-11-13,19:27:50+00,-81.033,26.352
BCNH,Smith,2016-10-28,15:54:45+00,-80.999,26.366
BCNH,Smith,2017-02-02,22:48:22+00,-80.633,26.147
BCNH,Smith,2017-03-29,23:44:27+00,-80.548,26.154
BCNH,Smith,2017-02-07,21:32:00+00,-80.628,26.157
BRPE,Green,2017-07-19,09:21:00+00,-76.0889,38.15068
BRPE,Green,2017-08-05,20:52:20+00,-75.98555,38.18022
BRPE,Green,2017-08-04,01:07:36+00,-76.1478,38.26169
BRPE,Green,2017-07-27,07:50:41+00,-76.23902,38.33435
BRPE,Green,2017-09-08,02:27:59+00,-76.20836,38.36936
BRPE,Green,2017-08-11,22:53:55+00,-76.34334,38.51863
BRPE,Green,2017-08-10,08:31:42+00,-76.38154,38.76521
BRPE,Green,2017-08-10,13:24:14+00,-76.47244,38.74002
BRPE,Green,2017-08-10,11:44:47+00,-76.43907,38.87764
BRPE,Green,2017-07-25,11:47:26+00,-76.37375,38.32822
BRPE,Green,2017-08-07,10:43:55+00,-76.39016,38.30861
BRPE,Green,2017-07-31,22:13:30+00,-76.42538,38.26473
BRPE,Green,2017-08-16,15:58:21+00,-76.28859,38.19373
BRPE,Green,2017-09-08,01:33:03+00,-76.1652,38.13927
BRPE,Green,2017-09-13,13:50:06+00,-76.10463,38.11954
BRPE,Green,2017-09-11,16:13:35+00,-76.31872,38.33637
BRPE,Green,2017-09-15,09:17:00+00,-76.25995,38.37468
BRPE,Green,2017-08-03,23:46:37+00,-76.29387,38.41727
BRPE,Green,2017-08-29,13:57:13+00,-76.0703,38.18572
BRPE,Green,2017-07-20,22:10:38+00,-76.06466,38.14224
BRPE,Purple,2017-07-19,09:21:00+00,-76.0889,38.15068
BRPE,Purple,2017-08-02,13:18:54+00,-76.07036,38.13383
BRPE,Purple,2017-08-04,03:40:10+00,-76.06231,38.1643
BRPE,Purple,2017-08-21,01:01:14+00,-76.06251,38.18596
BRPE,Purple,2017-09-02,20:34:35+00,-75.96199,38.1798
BRPE,Purple,2017-09-13,22:28:31+00,-76.00973,38.21546
BRPE,Purple,2017-08-27,09:04:27+00,-76.11079,37.96878
BRPE,Purple,2017-08-27,08:33:11+00,-76.13549,37.95347
