species,birdID,date,time,longitude,latitude
Swainson's hawk,SW16,1996-10-08,"NA",-98.184,28.84
Swainson's hawk,SW16,1996-10-09,"NA",-98.877,29.12
Swainson's hawk,SW16,1996-10-10,"NA",-99.299,25.879
Swainson's hawk,SW16,1996-10-11,"NA",-98.326,22.77
Swainson's hawk,SW16,1996-10-12,"NA",-96.021,17.831
Swainson's hawk,SW16,1996-10-21,"NA",-84.559,11.255
Swainson's hawk,SW16,1996-10-24,"NA",-79.887,8.916
Swainson's hawk,SW16,1996-10-25,"NA",-79.943,8.887
Swainson's hawk,SW16,1996-10-27,"NA",-76.006,6.643
Swainson's hawk,SW16,1996-10-28,"NA",-75.806,4.609
Swainson's hawk,SW16,1996-10-31,"NA",-73.646,1.248
Swainson's hawk,SW16,1996-11-01,"NA",-72.574,-2.357
Swainson's hawk,SW16,1996-11-03,"NA",-71.38,-5.287
Swainson's hawk,SW16,1996-11-04,"NA",-69.638,-8.95
Swainson's hawk,SW16,1996-11-05,"NA",-68.592,-9.893
Swainson's hawk,SW16,1996-11-07,"NA",-66.924,-12.65
Swainson's hawk,SW16,1996-11-08,"NA",-65.919,-15.806
Swainson's hawk,SW16,1996-11-09,"NA",-65.005,-16.888
Swainson's hawk,SW16,1996-11-11,"NA",-64.539,-17.066
Swainson's hawk,SW16,1996-11-16,"NA",-62.602,-31.517
Swainson's hawk,SW16,1996-12-03,"NA",-63.442,-35.913
Swainson's hawk,SW16,1996-12-04,"NA",-64.093,-36.022
Swainson's hawk,SW16,1996-12-09,"NA",-64.143,-36.172
Swainson's hawk,SW16,1996-12-21,"NA",-63.687,-35.86
Swainson's hawk,SW16,1997-01-24,"NA",-62.197,-31.829
Swainson's hawk,SW16,1997-01-30,"NA",-62.419,-31.659
Swainson's hawk,SW16,1997-02-10,"NA",-62.008,-31.773
Swainson's hawk,SW16,1997-02-27,"NA",-61.495,-31.451
Swainson's hawk,SW16,1997-03-05,"NA",-66.116,-12.056
Swainson's hawk,SW16,1997-03-11,"NA",-70.692,-6.011
Swainson's hawk,SW16,1997-03-17,"NA",-74.331,1.248
Swainson's hawk,SW16,1997-03-28,"NA",-93.871,16.873
Swainson's hawk,SW16,1997-05-02,"NA",-113.315,34.712
Swainson's hawk,SW17,1996-10-07,"NA",-98.297,23.105
Swainson's hawk,SW17,1996-10-08,"NA",-98.355,22.38
Swainson's hawk,SW17,1996-10-09,"NA",-96.737,19.938
Swainson's hawk,SW17,1996-10-10,"NA",-95.427,17.538
Swainson's hawk,SW17,1996-10-11,"NA",-95.17,16.72
Swainson's hawk,SW17,1996-10-12,"NA",-92.714,15.395
Swainson's hawk,SW17,1996-10-13,"NA",-89.592,13.9
Swainson's hawk,SW17,1996-10-15,"NA",-87.335,13.432
Swainson's hawk,SW17,1996-10-16,"NA",-85.811,12.657
Swainson's hawk,SW17,1996-10-17,"NA",-84.588,10.921
Swainson's hawk,SW17,1996-10-19,"NA",-82.452,8.711
Swainson's hawk,SW17,1996-10-20,"NA",-80.23,8.977
Swainson's hawk,SW17,1996-10-23,"NA",-76.928,7.101
